id_articulo,nombre_articulo,resumen_articulo,revisado
1,Educación online,"Este artículo analiza diversas estrategias que permiten mejorar la calidad de la educación a distancia, considerando herramientas digitales y metodologías participativas.",0
2,Cambio climático en zonas urbanas,"Se examina cómo el cambio climático está afectando a las ciudades, con énfasis en olas de calor, escasez hídrica y planificación urbana.",0
3,Tecnologías emergentes en medicina,"Una revisión sobre los avances tecnológicos más recientes en el ámbito médico, incluyendo dispositivos inteligentes y análisis de datos clínicos.",0
4,Desigualdad social y salud,Este trabajo investiga cómo la desigualdad socioeconómica limita el acceso equitativo a servicios de salud en países en desarrollo.,0
5,Enseñanza de matemáticas,"Se presentan nuevas formas de enseñar matemáticas usando enfoques visuales, manipulativos y basados en problemas reales.",0
6,IA responsable,Discusión sobre los principios éticos y técnicos que deben guiar el diseño e implementación de sistemas de inteligencia artificial.,0
7,Mujer en la ciencia,El artículo reconoce la contribución femenina en disciplinas STEM y propone medidas para fortalecer su participación.,0
8,Economía circular y sostenibilidad,Se describen modelos de negocio basados en economía circular que contribuyen a un desarrollo sostenible con menos residuos.,0
9,Ciberseguridad y teletrabajo,Exploración de los principales riesgos de seguridad informática que enfrentan empresas y trabajadores durante el teletrabajo.,0
10,Transporte urbano,Análisis de las transformaciones recientes en la movilidad urbana y cómo las políticas públicas pueden adaptarse.,0
11,Redes sociales y psicología,El estudio presenta los efectos psicológicos y conductuales que genera el uso excesivo de plataformas sociales digitales.,0
12,Energías renovables,"Revisión de tecnologías emergentes aplicadas a la producción de energía limpia como la solar, eólica y biomasa.",0
13,Educación inclusiva digital,Propuesta de lineamientos pedagógicos para lograr una educación inclusiva que contemple diversas capacidades y contextos.,0
14,Ética en desarrollo de software,Reflexión sobre los dilemas éticos que enfrentan los desarrolladores en la era del big data y la inteligencia artificial.,0
15,Machine learning en agricultura,Estudio de casos donde se aplican algoritmos de aprendizaje automático para optimizar procesos agrícolas y mejorar cosechas.,0
